frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code
"1731512848.956882000","172.16.123.188","34.139.124.58","54","62678,443",,"6","0.000074000","0x0010","40",,"0","2","2","True","258","128",,,
"1731512848.960634000","44.234.198.184","172.16.123.188","85","443,62679",,"6","0.003752000","0x0018","71",,"5","1","2","True","176","243",,,
"1731512848.960634000","44.234.198.184","172.16.123.188","60","443,62679",,"6","0.000000000","0x0011","40",,"5","32","2","True","176","243",,,
"1731512848.960691000","172.16.123.188","44.234.198.184","54","62679,443",,"6","0.000057000","0x0014","40",,"5","2","32","True","0","128",,,
"1731512848.968907000","44.234.198.184","172.16.123.188","85","443,62677",,"6","0.008216000","0x0018","71",,"1","1","2","True","425","243",,,
"1731512848.968907000","44.234.198.184","172.16.123.188","60","443,62677",,"6","0.000000000","0x0011","40",,"1","32","2","True","425","243",,,
"1731512848.969074000","172.16.123.188","44.234.198.184","54","62677,443",,"6","0.000167000","0x0014","40",,"1","2","32","True","0","128",,,
"1731512849.149470000","20.189.173.28","172.16.123.188","1514","443,62682",,"6","0.180396000","0x0010","1500",,"4","100","2649","True","4193792","103",,,
"1731512849.149890000",,,"60",,,,"0.000420000",,,,,,,,,,,,
"1731512849.152615000",,,"60",,,,"0.002725000",,,,,,,,,,,,
"1731512849.152615000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.152615000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.152615000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.152615000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.152615000","20.189.173.28","172.16.123.188","2974","443,62682",,"6","0.000000000","0x0010","2960",,"4","1560","2649","True","4193792","103",,,
"1731512849.152749000","172.16.123.188","20.189.173.28","54","62682,443",,"6","0.000134000","0x0010","40",,"4","2649","4480","True","66048","128",,,
"1731512849.153355000","20.189.173.28","172.16.123.188","1514","443,62682",,"6","0.000606000","0x0010","1500",,"4","4480","2649","True","4193792","103",,,
"1731512849.153455000","172.16.123.188","20.189.173.28","54","62682,443",,"6","0.000100000","0x0010","40",,"4","2649","5940","True","66048","128",,,
"1731512849.155333000","20.189.173.28","172.16.123.188","609","443,62682",,"6","0.001878000","0x0018","595",,"4","5940","2649","True","4193792","103",,,
"1731512849.155632000","172.16.123.188","20.189.173.28","128","62682,443",,"6","0.000299000","0x0018","114",,"4","2649","6495","True","65536","128",,,
"1731512849.160787000","20.189.173.28","172.16.123.188","157","443,62680",,"6","0.005155000","0x0018","143",,"2","6495","2723","True","4193536","104",,,
"1731512849.161015000","20.189.173.28","172.16.123.188","116","443,62680",,"6","0.000228000","0x0018","102",,"2","6598","2723","True","4193536","104",,,
"1731512849.161043000","172.16.123.188","20.189.173.28","54","62680,443",,"6","0.000028000","0x0010","40",,"2","5441","6660","True","65280","128",,,
"1731512849.161121000","172.16.123.188","20.189.173.28","85","62680,443",,"6","0.000078000","0x0018","71",,"2","5441","6660","True","65280","128",,,
"1731512849.164978000","20.189.173.28","172.16.123.188","85","443,62680",,"6","0.003857000","0x0018","71",,"2","6660","3304","True","4193024","104",,,
"1731512849.165385000","20.189.173.28","172.16.123.188","60","443,62680",,"6","0.000407000","0x0010","40",,"2","6691","5441","True","4194560","104",,,
"1731512849.205986000","172.16.123.188","20.189.173.28","54","62680,443",,"6","0.040601000","0x0010","40",,"2","5472","6691","True","65280","128",,,
"1731512849.260729000",,,"60",,,,"0.054743000",,,,,,,,,,,,
"1731512849.260729000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.260729000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.260729000",,,"105",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512849.342398000",,,"90",,,,"0.081669000",,,,,,,,,,,,
"1731512849.342398000",,,"90",,,,"0.000000000",,,,,,,,,,,,
"1731512849.342398000",,,"90",,,,"0.000000000",,,,,,,,,,,,
"1731512849.342398000",,,"90",,,,"0.000000000",,,,,,,,,,,,
"1731512849.342398000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.416294000","20.189.173.28","172.16.123.188","116","443,62682",,"6","0.073896000","0x0018","102",,"4","6598","2723","True","4193536","103","1",,
"1731512849.416528000","172.16.123.188","20.189.173.28","66","62682,443",,"6","0.000234000","0x0010","52",,"4","2723","6495","True","65536","128","1",,
"1731512849.419695000","20.189.173.28","172.16.123.188","335","443,62680",,"6","0.003167000","0x0018","321",,"2","6691","5441","True","4194560","104",,,
"1731512849.442806000",,,"90",,,,"0.023111000",,,,,,,,,,,,
"1731512849.442806000",,,"70",,,,"0.000000000",,,,,,,,,,,,
"1731512849.442806000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.442806000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.469582000","172.16.123.188","20.189.173.28","54","62680,443",,"6","0.026776000","0x0010","40",,"2","5472","6972","True","65024","128",,,
"1731512849.480236000","20.189.173.28","172.16.123.188","60","443,62680",,"6","0.010654000","0x0010","40",,"2","6972","5472","True","4194304","104",,,
"1731512849.547655000",,,"60",,,,"0.067419000",,,,,,,,,,,,
"1731512849.547655000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.547655000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.547655000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.547655000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.547655000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512849.547655000",,,"60",,,,"0.000000000",,,,,,,,,,,,
